2017-02-07 17:05:08.251 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2017-02-07 17:05:08.594 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-02-07 17:05:08.732 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-jedis.xml]
2017-02-07 17:05:08.985 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\db.properties]
2017-02-07 17:05:08.986 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\resource.properties]
2017-02-07 17:05:09.005 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 17:05:09.683 [localhost-startStop-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-02-07 17:05:11.577 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3500 ms
2017-02-07 17:05:17.990 [http-bio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'uping-rest': initialization started
2017-02-07 17:05:17.993 [http-bio-8081-exec-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 17:05:17 CST 2017]; parent: Root WebApplicationContext
2017-02-07 17:05:17.994 [http-bio-8081-exec-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-02-07 17:05:18.164 [http-bio-8081-exec-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 17:05:18.341 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[GET]}" onto public java.lang.String com.upingwang.rest.controller.IndexController.index()
2017-02-07 17:05:18.341 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/login],methods=[POST]}" onto public com.upingwang.common.result.JsonResult com.upingwang.rest.controller.IndexController.login(java.lang.String,java.lang.String)
2017-02-07 17:05:18.341 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/interface],methods=[GET]}" onto public java.lang.String com.upingwang.rest.controller.IndexController.interfacePage()
2017-02-07 17:05:18.406 [http-bio-8081-exec-1] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-02-07 17:05:18.644 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 17:05:17 CST 2017]; parent: Root WebApplicationContext
2017-02-07 17:05:18.706 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 17:05:17 CST 2017]; parent: Root WebApplicationContext
